[INFO] [1782289811.505792692] [minipc_mavros_offboard]: Started minipc_mavros_offboard with arm_only=False, takeoff_height_m=0.8, hover_seconds=10.0, offboard_stabilize_seconds=20.0, use_rc_offboard=True, hold_after_arm_reject=True, ignore_z_in_arm_only=True, debug_hold_after_mode_drop=True, recent_pose_samples=30, require_vision_pose=True, vision_freshness_s=1.0, lift_only_seconds=2.5, z_ramp_seconds=2.0, target_xyz=(0.0, 0.0, -1.0), yaw_deg=0.0, auto_land=False, land_on_offboard_loss=True, offboard_land=True, offboard_land_speed_mps=0.1, offboard_land_auto_handoff_height_m=0.1, target_reached_tolerance_m=0.15, landed_hold_seconds=0.0, drift_guard_enabled=True, drift_warning_m=0.2, drift_land_m=0.3, drift_emergency_m=0.5, legacy_max_horizontal_drift_m=0.5, control_mode=mpc
[INFO] [1782289811.506040741] [minipc_mavros_offboard]: MPC parameters: dt=0.05, horizon_steps=20, max_vz=0.3, max_az=0.5, max_vxy=0.3, max_axy=0.5, xy_hold_weight=2.0, z_tracking_weight=3.0, velocity_weight=1.5, accel_weight=0.2, terminal_weight=4.0
[INFO] [1782289811.523146702] [minipc_mavros_offboard]: Waiting for MAVROS connection
[INFO] [1782289812.723472688] [minipc_mavros_offboard]: Waiting for MAVROS local odometry before arming
[INFO] [1782289812.724234253] [minipc_mavros_offboard]: Averaged MAVROS local odometry at lock x=0.09, y=0.07, z=-0.02
[INFO] [1782289812.724778381] [minipc_mavros_offboard]: Target setpoint locked to ENU for MAVROS local setpoint x=0.09, y=0.07, z_start=-0.02, z_final=0.98
[INFO] [1782289812.773099479] [minipc_mavros_offboard]: Streaming pre-arm MAVROS setpoints
[INFO] [1782289850.923781617] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.09, -0.05, -0.06), vel_err=(0.02, -0.01, -0.02), accel=(0.45, -0.22, -0.34)
[INFO] [1782289851.973148576] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.10, -0.03, -0.06), vel_err=(0.02, -0.00, -0.02), accel=(0.50, -0.07, -0.32)
[INFO] [1782289852.973265308] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.11, -0.00, -0.05), vel_err=(0.02, 0.02, -0.01), accel=(0.35, 0.35, -0.26)
[INFO] [1782289853.973210999] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.13, 0.02, -0.05), vel_err=(0.02, 0.01, -0.01), accel=(0.48, 0.14, -0.30)
[INFO] [1782289854.973226363] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.30, 0.40, 0.43)
[INFO] [1782289856.023159444] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.08), vel_err=(0.01, 0.02, 0.02), accel=(0.27, 0.39, 0.45)
[INFO] [1782289857.023621411] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.25, 0.42, 0.42)
[INFO] [1782289858.073653612] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.39, 0.42)
[INFO] [1782289859.123498131] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.21, 0.02, -0.11), vel_err=(0.02, 0.00, -0.03), accel=(0.49, 0.09, -0.50)
[INFO] [1782289860.174094182] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.30, 0.40, 0.43)
[INFO] [1782289861.223573194] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.09, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.43, 0.41)
[INFO] [1782289862.273597216] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.40, 0.43)
[INFO] [1782289863.323523499] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.29, 0.38, 0.44)
[INFO] [1782289864.373474304] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.29, 0.41, 0.41)
[INFO] [1782289865.373685927] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.24, 0.41, 0.42)
[INFO] [1782289866.423936104] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.25, 0.39, 0.44)
[INFO] [1782289867.473262926] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.39, 0.42)
[INFO] [1782289868.523734319] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.25, 0.41, 0.43)
[INFO] [1782289869.573211292] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.09, 0.08), vel_err=(0.01, 0.02, 0.02), accel=(0.27, 0.42, 0.44)
[INFO] [1782289870.573625702] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.28, 0.41, 0.41)
[INFO] [1782289871.623222011] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.09, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.27, 0.42, 0.42)
[INFO] [1782289872.673216484] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.06, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.29, 0.39, 0.40)
[INFO] [1782289873.723134924] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.23, -0.03, -0.16), vel_err=(0.02, -0.01, -0.03), accel=(0.48, -0.14, -0.50)
[INFO] [1782289874.723271761] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.25, 0.41, 0.42)
[INFO] [1782289875.774157182] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.05, 0.08, 0.07), vel_err=(0.01, 0.02, 0.02), accel=(0.26, 0.42, 0.43)
[INFO] [1782289876.823086976] [minipc_mavros_offboard]: MPC setpoint phase=hold, ref=(0.09, 0.07, -0.02), pos_err=(0.22, -0.00, -0.17), vel_err=(0.02, 0.00, -0.03), accel=(0.50, 0.02, -0.50)
